region_id,region_name,state,population,households,population_density_km2,median_income_usd,education_index,urban_rural_flag,dsl_coverage_pct,avg_dsl_speed_mbps,competitor_fiber_presence,complaint_rate_pct,churn_rate_pct,broadband_adoption_pct,avg_monthly_data_gb,terrain_slope_deg,road_density_km_per_km2,existing_backhaul_distance_km
REG-055,Region 55,Indiana,117842.00,5615.00,701.33,74259.48,0.87,Rural,50.69,27.65,1,18.12,7.65,69.02,305.93,4.49,1.46,1.42
REG-056,Region 56,Indiana,145912.00,47852.00,444.98,51900.37,0.57,Urban,89.78,29.54,0,5.78,6.88,66.65,311.39,3.25,1.44,4.77
REG-057,Region 57,Indiana,110511.00,48907.00,520.39,48809.68,0.54,Urban,43.49,31.7,1,12.65,8.36,54.28,254.19,7.54,2.14,3.6
REG-058,Region 58,Indiana,56993.00,4124.00,607.01,74956.76,0.68,Rural,43.64,24.26,1,15.68,4.7,89.19,362.18,2.02,1.48,4.73
REG-059,Region 59,Indiana,116974.00,34560.00,440.66,46177.36,0.52,Rural,60.63,48.03,1,7.95,7.55,87.5,291.35,9.25,1.58,3.26
REG-060,Region 60,Indiana,74297.00,24007.00,59.49,40266.67,0.62,Rural,73.91,16.98,3,12.46,8.06,86.46,323.99,1.04,1.33,3.38
REG-061,Region 61,Indiana,109451.00,42069.00,367.84,69185.05,0.56,Rural,54.54,23.33,3,19.14,5.78,53.81,212.87,9.24,2.17,6.08
REG-062,Region 62,Indiana,10477.00,39643.00,333.78,78740.76,0.54,Urban,58.88,16.32,1,11.76,4.18,72.5,267.06,3.79,1.73,9.23
REG-063,Region 63,Indiana,141395.00,15573.00,537.92,73608.46,0.65,Urban,54.22,40.6,2,10.59,4.21,88.83,233.5,11.93,1,8.48
REG-064,Region 64,Indiana,97632.00,45738.00,243.27,49384.94,0.57,Urban,44.36,17.11,2,10.27,8.13,76.2,166.81,7.4,2.71,8.28
REG-065,Region 65,Indiana,106096.00,34634.00,584.6,61834.18,0.69,Rural,66.98,22.02,2,17.24,6.26,62.81,418.42,1.34,1.69,8.25
REG-066,Region 66,Indiana,142527.00,13287.00,773.15,58897.54,0.61,Urban,82.44,28.51,1,8.56,5.6,85.01,290.57,4.76,2.8,3.23
REG-067,Region 67,Indiana,47555.00,4637.00,287.32,65528.89,0.59,Urban,53.15,10.95,2,10.87,6.49,86.08,219.52,1.59,2.07,3.53
REG-068,Region 68,Indiana,41496.00,50280.00,176.88,45289.33,0.48,Urban,61.81,37.72,1,9.71,8.24,53.25,367.03,10.66,1.57,8.31
REG-069,Region 69,Indiana,134024.00,52240.00,610.47,84237.40,0.69,Urban,48.93,38.74,1,15.26,3.57,76.58,471.8,9.13,2.2,7.68
REG-070,Region 70,Indiana,64409.00,52798.00,776.47,82717.13,0.53,Urban,52.87,14.94,1,17.04,8.95,89.87,202.49,9.39,2.95,1.46
REG-071,Region 71,Indiana,110108.00,17816.00,549.66,40157.16,0.63,Rural,80.6,14.89,0,15.21,8.02,77,494.46,4.18,2.7,2.38
REG-072,Region 72,Indiana,54918.00,23644.00,798.25,82246.61,0.74,Urban,85.85,28.76,2,8.43,5.09,79.79,211.84,7.92,2.13,7.07
REG-073,Region 73,Indiana,147942.00,40440.00,589.68,50165.66,0.57,Rural,77.64,12.6,1,16.02,3.49,56.25,304.2,1.7,2.49,1.66
REG-074,Region 74,Indiana,60163.00,6201.00,471.94,62512.19,0.79,Urban,55.64,35.73,3,16.64,8.89,54.19,288.51,2.98,2.56,6.38
REG-075,Region 75,Indiana,149489.00,53517.00,165.18,44817.32,0.61,Urban,43.92,36.84,0,12.49,8.3,53.64,198.42,1.66,2.42,1.76
REG-076,Region 76,Indiana,80205.00,20040.00,749.07,57704.89,0.61,Rural,82.93,24.5,2,19.85,9.78,72.67,398.58,3.73,2.92,2.44
REG-077,Region 77,Indiana,146746.00,54944.00,136.92,80294.28,0.67,Rural,73.88,49.5,0,12.41,9.84,54.86,354.76,10.29,1.53,4.76
REG-078,Region 78,Indiana,24690.00,44718.00,647.94,63785.10,0.71,Rural,46.94,30.87,0,14.38,4.13,53.47,362.81,10.76,2.93,8.43
REG-079,Region 79,Indiana,36498.00,21343.00,299.86,59952.40,0.42,Urban,52.81,36.16,1,5.99,8.57,69.48,259.74,2.29,2.23,3.71
REG-080,Region 80,Indiana,75784.00,23359.00,395.47,83369.18,0.59,Rural,86.55,44.64,3,17.75,5.18,51.49,181.86,7.03,2.26,9.02
REG-081,Region 81,Indiana,101904.00,8398.00,696.8,87288.24,0.46,Urban,69.15,42.43,1,15.97,6.6,52.21,415.08,7.15,1,9.74
REG-082,Region 82,Indiana,108145.00,20178.00,124.15,66051.64,0.52,Rural,47.74,42.85,2,17.82,9.61,69.32,194.43,0.99,1.72,4.24
REG-083,Region 83,Indiana,55633.00,18212.00,316.64,55596.46,0.56,Urban,81.33,30.69,3,11.9,9.2,73.13,317.43,7.04,2.66,8.88
REG-084,Region 84,Indiana,61257.00,44708.00,576.39,79150.36,0.69,Urban,80.54,31.61,2,16.2,8.88,85.45,387.6,4.13,1.19,5.5
REG-085,Region 85,Indiana,63140.00,18495.00,250.92,78640.83,0.89,Urban,84.88,39.27,2,5.85,9.97,68.69,390.12,4.59,1.39,3.37
REG-086,Region 86,Indiana,96721.00,11717.00,660.54,80825.41,0.83,Urban,61.75,47.38,0,2.14,4.31,65.34,313.09,2.98,2.09,4.18
REG-087,Region 87,Indiana,116491.00,57795.00,241.77,89529.29,0.71,Rural,65.42,29.68,3,5.64,5.53,70,155.68,11.11,0.74,8.69
REG-088,Region 88,Indiana,147570.00,39220.00,161.33,79981.41,0.82,Urban,65.18,39.71,0,3.18,8.99,64.17,268.65,1.14,2.11,4.98
REG-089,Region 89,Indiana,80097.00,24884.00,379.22,75790.44,0.48,Urban,52.42,40.77,0,6.87,4.6,64.74,375.63,9.65,1.65,3.77
REG-090,Region 90,Indiana,139408.00,59715.00,756.95,62037.71,0.8,Urban,55.15,42.91,3,18.7,4.84,82.48,181.63,2.43,2.54,9.35
REG-091,Region 91,Indiana,135339.00,49419.00,93.67,66161.57,0.48,Rural,57.44,36.51,2,16.98,5.31,69.65,368.08,3.17,0.72,2.02
REG-092,Region 92,Indiana,102858.00,24799.00,537.32,59200.08,0.53,Urban,49.59,31.6,3,11.36,5.81,86.68,218.43,6.94,1.51,8.23
REG-093,Region 93,Indiana,134709.00,7701.00,287.83,41484.93,0.53,Urban,68.71,16.81,1,13.04,7.37,83.46,361.66,8.88,1,1.91
REG-094,Region 94,Indiana,149486.00,49172.00,169,89628.64,0.44,Urban,71.3,13.6,0,3.08,9.83,54.62,404.85,0.99,1.3,1.59
REG-095,Region 95,Indiana,63011.00,23598.00,412.12,75703.35,0.51,Urban,45.54,36.41,1,19.4,4.33,85.17,251.18,0.27,0.93,7.74
REG-096,Region 96,Indiana,12312.00,49089.00,173.28,55999.80,0.78,Rural,85.56,11.84,2,12.91,5.24,77.96,158.06,11.51,2.67,8.54
REG-097,Region 97,Indiana,119669.00,18492.00,460.26,74328.67,0.46,Urban,45.97,20.72,0,12.7,7.33,73.06,328.37,4.81,2.13,5.54
REG-098,Region 98,Indiana,147255.00,54671.00,410.35,88607.19,0.59,Rural,43.93,47.66,0,17.1,5.42,52.57,496.74,4.31,2.95,3.15
REG-099,Region 99,Indiana,128952.00,5118.00,225.67,42691.74,0.85,Rural,85.7,25.38,2,15.41,9.98,65.59,364.64,11.35,1.52,8.75
REG-100,Region 100,Indiana,149029.00,26425.00,457.25,84441.86,0.62,Urban,57.41,42.73,0,4.47,6.78,84.12,186.16,9.21,1.34,3.86
REG-101,Region 101,Indiana,145352.00,35424.00,790.46,60395.99,0.5,Rural,66.41,17.71,1,7.2,8.29,73.19,491.77,6.94,1.8,9.02
REG-102,Region 102,Indiana,107040.00,27404.00,573.31,51471.83,0.55,Rural,48.21,28.61,3,6.51,3.32,64.41,175.93,4.35,2.94,8.46
REG-103,Region 103,Indiana,106918.00,58249.00,760.74,47929.62,0.48,Urban,42.41,25.8,1,18.17,6.32,77.05,399.06,3.19,1.57,9.84
REG-104,Region 104,Indiana,120600.00,35132.00,280.71,70650.30,0.52,Rural,62.76,43.92,0,18.74,5.27,75.82,349.59,4.66,2.51,5.36
REG-105,Region 105,Indiana,90199.00,47612.00,676.84,52482.12,0.83,Urban,79.18,35.39,0,17.45,3.13,64.68,456.68,6.66,1.34,2.02
REG-106,Region 106,Indiana,74150.00,57014.00,416.49,42496.97,0.41,Urban,49.13,41.18,3,10.8,3.31,59.11,241,7.26,2.8,1.34
REG-107,Region 107,Indiana,107073.00,31900.00,690.86,76823.83,0.79,Rural,71.3,28.2,0,18.9,6.57,89.84,222.93,6.2,0.96,8.29
REG-108,Region 108,Indiana,61914.00,42703.00,369.81,76033.99,0.85,Rural,87.14,11.86,2,15.34,4.67,56.16,179.46,2.95,1.28,2.51
REG-109,Region 109,Indiana,110874.00,45642.00,489.27,88837.57,0.41,Urban,88.54,47.79,2,12.56,5.59,77.94,438.06,10.32,0.76,8.78
REG-110,Region 110,Indiana,69317.00,38966.00,797.52,78793.45,0.74,Urban,71.92,21.87,3,12.51,4.75,81.09,290.89,2.5,1.33,1.17
REG-111,Region 111,Indiana,92927.00,37626.00,784.29,67244.76,0.89,Rural,45.73,28.69,1,12.51,7.75,80.09,347,2.4,0.75,1.44
REG-112,Region 112,Indiana,102289.00,40027.00,420.91,68931.42,0.86,Urban,63.05,46.71,3,14.1,7.45,77.03,374.41,4.26,2.83,7.45
REG-113,Region 113,Indiana,42969.00,34383.00,744.84,49765.95,0.45,Urban,88.08,17.87,3,15.05,6.53,88.85,211.59,3.88,0.77,1.44
REG-114,Region 114,Indiana,94323.00,39458.00,534.66,69497.08,0.57,Urban,63.59,31.93,1,13.66,3.09,54.32,240.3,9.4,0.83,7.26
REG-115,Region 115,Indiana,128611.00,34624.00,705.74,82561.85,0.41,Urban,79.47,42.1,1,8.03,6.66,55.74,389.86,0.26,1.12,9.35
REG-116,Region 116,Indiana,111134.00,33056.00,654.88,78602.57,0.77,Urban,45.91,49.09,3,4.09,6.96,69.3,159.26,7.32,2.01,6.34
REG-117,Region 117,Indiana,67178.00,59501.00,174.57,45167.00,0.49,Urban,60.95,25.28,1,18.3,6.91,60.49,398.17,4.05,1.3,1.97
REG-118,Region 118,Indiana,87770.00,18581.00,550.64,70681.89,0.46,Rural,42.7,44.19,3,12.3,9.33,88.2,456.62,5.94,1.92,4.54
REG-119,Region 119,Indiana,46559.00,52897.00,148.72,60915.47,0.77,Urban,67.38,48.74,1,3.75,4.33,62.34,440.83,4.42,0.69,7.91
REG-120,Region 120,Indiana,37969.00,26630.00,532.71,72132.74,0.72,Urban,68.3,35.46,3,9.39,6.33,84.89,278.49,8.61,2.28,4.63
REG-121,Region 121,Indiana,136885.00,19647.00,277.12,44726.31,0.72,Rural,59.95,27.45,1,5.19,3.73,77.68,256.47,0.87,0.76,4.15
REG-122,Region 122,Indiana,106142.00,25046.00,704.97,61503.81,0.51,Urban,40.46,46.67,0,10.6,9.89,83.17,238.48,3.42,1.16,1.73
REG-123,Region 123,Indiana,149458.00,25599.00,665.12,71455.07,0.83,Rural,42.69,33.16,2,18.87,7.97,76.75,364.17,8.55,2.25,8.67
REG-124,Region 124,Indiana,83023.00,45866.00,250.59,77846.94,0.63,Urban,40.62,36.5,0,12.17,7.39,60.2,418.17,8.29,2.95,2.07
REG-125,Region 125,Indiana,72881.00,34579.00,537.9,72977.20,0.79,Urban,85.04,44.43,2,13.21,4.13,88.76,224.15,9.13,1.4,3.5
REG-126,Region 126,Indiana,38585.00,56163.00,196.93,42401.65,0.68,Urban,72.77,47.94,2,15.1,3.43,63.7,196.76,9.62,1.12,2.61
REG-127,Region 127,Indiana,59595.00,20843.00,165.98,58367.84,0.68,Rural,42.07,30.13,3,5.88,9.8,54.59,385.74,11.5,2.96,5.85
REG-128,Region 128,Indiana,82375.00,44418.00,152.9,41783.02,0.42,Rural,75.17,24.58,0,17.88,7.2,67.92,443.32,7.27,0.72,6.25
REG-129,Region 129,Indiana,74980.00,30828.00,572.55,84809.47,0.49,Rural,46.46,46.97,0,14.59,5.26,75.09,349.35,7.24,2.62,7.08
REG-130,Region 130,Indiana,43275.00,21629.00,361.12,70857.19,0.54,Urban,58.37,38.19,1,17.01,6.8,74.74,436.59,7.17,1.81,9.87
REG-131,Region 131,Indiana,52195.00,25787.00,116.28,74034.19,0.43,Urban,71.2,17.51,1,12.42,3.43,88.79,388.02,5.39,1.4,4.72
REG-132,Region 132,Indiana,80728.00,8534.00,522.4,51322.57,0.87,Urban,71.31,29.46,0,3.81,3.43,62.01,487.23,11.29,1.16,1.33
REG-133,Region 133,Indiana,68995.00,7561.00,558.45,67877.69,0.72,Urban,52.35,34.47,2,8.93,3.09,79.05,382.35,2.74,2.1,4.33
REG-134,Region 134,Indiana,36606.00,8790.00,659.38,74059.25,0.55,Urban,47.63,43.56,2,14.46,9.06,73.47,304.37,11.93,1.22,1.15
REG-135,Region 135,Indiana,94637.00,10552.00,715.71,47213.59,0.51,Rural,59.1,19.08,0,2.85,5.83,89.01,380.63,9.23,1.16,7.67
REG-136,Region 136,Indiana,110408.00,51592.00,598.08,79576.95,0.7,Urban,68.43,34.45,2,7.12,8.27,87.52,333.48,4.74,1.99,3.56
REG-137,Region 137,Indiana,74507.00,42129.00,663.07,72718.89,0.7,Rural,86.71,16.94,3,14.42,5.96,83.4,257.52,4.89,2.57,1.21
REG-138,Region 138,Indiana,128691.00,57835.00,597.11,83900.46,0.49,Urban,64.68,24.41,0,13.14,3.74,55.52,479.57,3.15,1.21,9.14
REG-139,Region 139,Indiana,57567.00,38854.00,428.49,89031.06,0.71,Rural,43.48,40.36,1,13.16,9.42,86.19,436.59,3.43,0.66,8.54
REG-140,Region 140,Indiana,88403.00,11861.00,380.56,68104.05,0.65,Rural,52.52,31.26,0,5.27,5.53,63.58,225.56,5.46,2.97,9.47
REG-141,Region 141,Indiana,75770.00,11211.00,425.75,70614.65,0.84,Urban,80.93,44.38,1,3.54,4.72,83.11,429,2.85,1.45,6.04
REG-142,Region 142,Indiana,121506.00,58341.00,132.44,51760.01,0.45,Rural,64.81,17.79,1,13.69,7.71,84.15,302.14,1.77,1.41,9.89
REG-143,Region 143,Indiana,53172.00,12052.00,237.35,80848.75,0.87,Rural,59.89,30.09,3,9.91,6.98,79.68,152.58,7.18,1.75,3.04
REG-144,Region 144,Indiana,113071.00,32564.00,393.19,50162.92,0.51,Rural,48.53,13.32,3,18.76,9.3,63.73,290.8,7.41,2.65,3.33
REG-145,Region 145,Indiana,28221.00,33509.00,670.59,64272.23,0.68,Urban,57.78,38.55,3,9.64,9.37,57.44,307.73,7.54,2.17,5.72
REG-146,Region 146,Indiana,62405.00,43406.00,723.4,71456.32,0.5,Urban,82.84,20.71,0,15.02,3.33,71.4,285.34,9.14,2.07,8.97
REG-147,Region 147,Indiana,70945.00,9498.00,454.99,49939.29,0.8,Urban,55.4,34.26,0,19.79,7.17,51.03,469.02,8.02,0.63,8.3
REG-148,Region 148,Indiana,27208.00,8787.00,308.57,46681.90,0.86,Urban,81.88,31.14,1,10.82,3.99,54.66,434.54,10.09,2.31,8.87
REG-149,Region 149,Indiana,91657.00,4401.00,367.25,67750.77,0.61,Rural,62.66,16.69,1,17.35,3.1,68.23,280.42,10.3,0.55,6.53
REG-150,Region 150,Indiana,49127.00,33280.00,222.2,55808.31,0.69,Urban,79.32,29.88,0,13.35,3.29,70.13,433.72,1.68,2.85,2.86
REG-151,Region 151,Indiana,98982.00,5806.00,670.17,54470.69,0.66,Urban,68.03,21.95,2,10.35,8.13,64.75,375.95,9.62,0.57,3.05
REG-152,Region 152,Indiana,53812.00,38366.00,353.43,41942.94,0.52,Rural,47.63,41.14,2,12.05,8.57,50.28,226.23,10.53,1.38,3.02
REG-153,Region 153,Indiana,79995.00,8190.00,497.33,46505.21,0.7,Urban,78.51,20.6,1,12.87,4.13,80.38,399.64,9.71,1.57,4.38
REG-154,Region 154,Indiana,125208.00,7213.00,628.81,47714.00,0.62,Urban,51.4,29.13,0,5.61,9.08,85.55,310.87,8,1.4,9.14
REG-155,Region 155,Indiana,100046.00,15808.00,243.21,57197.88,0.6,Rural,87.97,19.82,1,9.11,4.8,50.28,255.14,7.62,1.02,2.67
REG-156,Region 156,Indiana,92445.00,43273.00,203.54,43398.98,0.6,Rural,75.96,21.85,2,13.06,8.73,50.07,273.74,10.62,1.62,6.25
REG-157,Region 157,Indiana,143172.00,42308.00,314.07,66030.16,0.65,Rural,76.26,42.42,2,9.72,8.66,77.57,428.57,3.29,0.84,1.13
REG-158,Region 158,Indiana,93378.00,4731.00,255.27,80788.54,0.44,Urban,70.18,42.81,2,8.52,6.98,55.16,304.66,9.76,2.32,5.88
REG-159,Region 159,Indiana,18259.00,20247.00,418.37,48777.00,0.83,Urban,73.92,27.88,2,2.18,3,60.62,488.92,6.52,2.22,8.34
REG-160,Region 160,Indiana,148876.00,44873.00,237.31,57985.10,0.47,Urban,81.48,22.95,0,4.02,7.14,54.38,218.11,7.04,2.87,2.82
REG-161,Region 161,Indiana,72407.00,53081.00,630,51114.78,0.88,Rural,80.8,13.6,0,9,5.45,66.51,489.26,4.43,2.94,1.1
REG-162,Region 162,Indiana,52055.00,55487.00,109.91,73552.19,0.66,Urban,75.8,48.19,1,12.82,7.5,58.64,330.36,6.99,1.64,3.5
REG-163,Region 163,Indiana,116318.00,26934.00,760.51,80319.23,0.5,Rural,87.94,19.12,3,7.7,8.71,68.02,359.2,2.53,2.13,3.21
REG-164,Region 164,Indiana,148314.00,4411.00,75.83,70310.08,0.75,Urban,88.15,26.95,1,14.09,3.85,62.77,356.87,1.69,1.85,6.85
REG-165,Region 165,Indiana,47904.00,33966.00,671.9,54149.51,0.47,Rural,76.96,29.17,3,11.3,6.51,76.72,463.9,2.54,1.56,7.7
REG-166,Region 166,Indiana,43886.00,6559.00,627.62,72170.04,0.75,Urban,75.39,11.56,0,3.28,9.76,60.57,162.62,0.94,2.28,4.77
REG-167,Region 167,Indiana,56102.00,36934.00,468.11,47059.66,0.47,Urban,61.95,27.21,1,3.11,9.33,56.92,405.77,7.12,2.7,6.97
REG-168,Region 168,Indiana,60068.00,11822.00,164.68,78004.90,0.65,Urban,51.69,19.31,0,9.32,9.06,63.37,388.42,5.59,1.3,8.57
REG-169,Region 169,Indiana,120872.00,45975.00,422.23,57833.88,0.63,Rural,65.8,42.3,3,13.5,6.64,80.45,468.74,8.85,0.64,8.24
REG-170,Region 170,Indiana,44352.00,26094.00,791.71,62121.81,0.41,Urban,68.18,38.48,3,4.29,3.08,84.17,322.3,8.54,2.31,1.61
REG-171,Region 171,Indiana,123479.00,16107.00,738.76,57051.75,0.5,Rural,68.39,46.98,1,13.68,8.24,59.23,372.61,11.93,1.97,7.74
